1,342,19.83,5,37.45,124.9,5,24.27,130.21,7,0
4,105,27.45,5,37.45,124.9,4,33.59,139.25,3,1
4,126,22.19,5,37.45,124.9,4,33.59,139.25,8,0
4,105,27.45,5,37.45,124.9,4,33.59,139.25,13,0
1,342,19.83,5,37.45,124.9,4,33.59,139.25,12,0
4,96,28.78,5,37.45,124.9,4,33.59,139.25,12,0
1,342,19.83,5,37.45,124.9,4,33.59,139.25,7,1
4,114,30.54,4,38.44,136.18,4,33.59,139.25,9,0
4,126,22.19,4,38.44,136.18,4,33.59,139.25,10,0
4,114,30.54,4,38.44,136.18,4,33.59,139.25,9,0
4,126,22.19,4,38.44,136.18,4,33.59,139.25,12,1
1,257,22.25,5,28.96,120.58,1,21.7,110.7,6,0
4,109,28,5,28.96,120.58,1,21.7,110.7,6,0
7,182,22.18,5,28.96,120.58,4,30.25,137.21,8,1
4,109,28,4,30.25,137.21,1,21.7,110.7,1,0
7,182,22.18,4,30.25,137.21,1,21.7,110.7,17,0
4,109,28,4,30.25,137.21,1,21.7,110.7,11,1
1,257,22.25,5,30.88,112.45,1,21.7,110.7,3,0
4,109,28,5,30.88,112.45,1,21.7,110.7,5,0
4,135,31.42,5,30.88,112.45,1,21.7,110.7,4,0
7,210,24.34,5,30.88,112.45,1,21.7,110.7,9,0
4,135,31.42,5,30.88,112.45,1,21.7,110.7,9,0
7,210,24.34,5,30.88,112.45,1,21.7,110.7,5,0
1,447,24.53,5,25.78,127.84,5,30.88,112.45,8,1
7,210,24.34,5,25.78,127.84,1,21.7,110.7,12,0
1,447,24.53,5,25.78,127.84,1,21.7,110.7,6,0
1,257,22.25,5,25.78,127.84,1,21.7,110.7,12,0
1,447,24.53,5,25.78,127.84,1,21.7,110.7,12,0
1,257,22.25,5,25.78,127.84,1,21.7,110.7,20,0
1,447,24.53,5,25.78,127.84,4,27.64,142.57,8,1
1,245,25.49,4,24.01,137.91,2,20.81,117.6,13,0
5,67,19.68,4,24.01,137.91,2,20.81,117.6,8,0
7,179,22.03,4,24.01,137.91,2,20.81,117.6,6,0
1,245,25.49,4,24.01,137.91,2,20.81,117.6,17,1
5,67,19.68,2,20.81,117.6,1,20.11,105.12,2,0
7,179,22.03,2,20.81,117.6,1,20.11,105.12,9,0
5,61,23.73,2,20.81,117.6,1,20.11,105.12,10,0
5,53,34.47,2,20.81,117.6,1,20.11,105.12,5,0
5,61,23.73,2,20.81,117.6,1,20.11,105.12,13,0
5,53,34.47,2,20.81,117.6,1,20.11,105.12,10,0
5,73,31.23,2,20.81,117.6,1,20.11,105.12,4,1
7,179,22.03,4,27.64,142.57,2,20.81,117.6,11,0
5,73,31.23,5,31.02,126.88,4,27.64,142.57,7,1
7,179,22.03,5,31.02,126.88,2,20.81,117.6,7,0
5,73,31.23,5,31.02,126.88,2,20.81,117.6,4,0
1,245,25.49,5,31.02,126.88,2,20.81,117.6,6,0
5,73,31.23,5,31.02,126.88,2,20.81,117.6,15,0
5,67,19.68,1,18.15,103.96,5,31.02,126.88,10,1
1,245,25.49,1,18.15,103.96,5,31.02,126.88,10,1
5,67,19.68,1,18.15,103.96,0,21.3,162.94,7,3
4,96,28.78,5,25.43,121.55,4,36.26,136.91,4,0
2,27,30.51,5,25.43,121.55,4,36.26,136.91,11,0
7,218,22.43,5,25.43,121.55,4,36.26,136.91,3,0
4,96,28.78,4,33.59,139.25,4,36.26,136.91,8,1
2,27,30.51,5,25.43,121.55,5,25.43,121.55,24,0
7,218,22.43,4,33.59,139.25,5,25.43,121.55,8,0
4,96,28.78,4,33.59,139.25,5,25.43,121.55,9,0
5,70,26.61,4,33.59,139.25,5,25.43,121.55,5,0
4,103,26.13,4,38.44,136.18,5,25.43,121.55,3,1
5,70,26.61,4,38.44,136.18,4,33.59,139.25,4,1
4,103,26.13,4,38.44,136.18,5,28.75,112.74,5,0
5,70,26.61,4,38.44,136.18,5,28.75,112.74,5,0
4,103,26.13,4,38.44,136.18,5,28.75,112.74,7,0
2,27,27.92,4,38.44,136.18,5,28.75,112.74,8,0
2,27,30.51,4,38.44,136.18,5,28.75,112.74,13,0
4,96,28.78,4,38.44,136.18,4,26.25,138.02,3,1
7,218,22.43,4,26.25,138.02,5,28.75,112.74,6,0
5,70,26.61,4,26.25,138.02,5,28.75,112.74,20,0
7,218,22.43,2,20.77,124.21,4,26.25,138.02,5,2
1,257,22.25,4,33.89,136.89,5,30.88,112.45,9,1
7,162,22.54,4,33.89,136.89,4,28.77,134.56,1,1
1,257,22.25,4,31.48,133.06,4,33.89,136.89,3,0
7,162,22.54,4,31.48,133.06,4,33.89,136.89,13,0
5,84,27.72,4,31.48,133.06,4,33.89,136.89,7,0
7,162,22.54,4,31.48,133.06,4,33.89,136.89,9,0
7,228,21.79,4,31.48,133.06,4,33.89,136.89,4,0
4,131,26.13,4,31.48,133.06,4,33.89,136.89,13,0
7,228,21.79,4,31.48,133.06,4,33.89,136.89,4,0
4,131,26.13,4,31.48,133.06,4,33.89,136.89,6,1
7,228,21.79,4,31.48,133.06,4,40.75,133.33,4,1
5,84,27.72,5,28.12,115.41,4,40.75,133.33,3,0
7,228,21.79,5,28.12,115.41,4,40.75,133.33,5,0
5,84,27.72,5,28.12,115.41,4,40.75,133.33,8,0
4,131,26.13,5,28.12,115.41,4,40.75,133.33,6,0
1,257,22.25,5,28.12,115.41,4,40.75,133.33,9,0
4,131,26.13,5,28.12,115.41,4,40.75,133.33,10,0
1,257,22.25,5,28.12,115.41,4,40.75,133.33,2,0
5,84,27.72,5,28.12,115.41,4,40.75,133.33,13,1
7,162,22.54,7,5.54,70.93,4,40.75,133.33,9,2
7,170,26.31,5,28.96,120.58,6,26.89,147.83,9,0
2,35,34.51,5,28.96,120.58,5,27.04,122.82,3,1
7,170,26.31,5,28.96,120.58,5,27.04,122.82,7,0
2,35,34.51,5,28.96,120.58,5,27.04,122.82,11,0
4,114,30.54,5,28.96,120.58,5,28.96,120.58,8,0
2,35,34.51,5,28.96,120.58,4,35.36,147.91,4,1
5,57,24.36,4,35.36,147.91,5,27.04,122.82,7,0
2,21,25.23,4,35.36,147.91,5,27.04,122.82,8,0
5,57,24.36,4,35.36,147.91,5,27.04,122.82,3,0
2,21,25.23,4,35.36,147.91,5,27.04,122.82,3,0
5,57,24.36,4,35.36,147.91,5,27.04,122.82,5,0
2,21,25.23,4,35.36,147.91,5,27.04,122.82,8,0
5,57,24.36,4,35.36,147.91,5,27.04,122.82,7,0
2,21,25.23,4,35.36,147.91,5,27.04,122.82,5,1
4,114,30.54,5,27.04,122.82,4,27.17,132.19,8,0
2,24,26.58,5,27.04,122.82,4,27.17,132.19,8,1
4,114,30.54,5,27.04,122.82,1,21.66,104.55,18,0
7,170,26.31,5,27.04,122.82,1,21.66,104.55,9,0
2,35,34.51,5,27.04,122.82,1,21.66,104.55,12,0
4,127,17.44,5,26.63,127.61,5,26.63,127.61,0,1
7,150,22.83,4,33.59,139.25,4,30.25,137.21,6,0
4,127,17.44,4,33.59,139.25,4,30.25,137.21,11,0
4,137,24.96,4,33.59,139.25,4,30.25,137.21,5,0
5,74,27.7,4,33.59,139.25,4,30.25,137.21,7,0
4,137,24.96,4,33.59,139.25,4,30.25,137.21,8,1
5,79,25.75,5,27.45,124.67,4,33.59,139.25,6,0
5,74,27.7,5,27.45,124.67,4,33.59,139.25,3,0
5,79,25.75,5,27.45,124.67,4,33.59,139.25,15,0
5,74,27.7,5,27.45,124.67,4,33.59,139.25,3,0
7,150,22.83,5,27.45,124.67,4,33.59,139.25,5,0
6,8,82.62,5,27.45,124.67,4,33.59,139.25,6,0
7,150,22.83,5,27.45,124.67,4,33.59,139.25,10,0
4,137,24.96,5,27.45,124.67,4,33.59,139.25,9,0
5,74,27.7,5,27.45,124.67,4,38.44,136.18,3,2
5,79,25.75,4,38.44,136.18,2,21.68,122.96,12,0
4,127,17.44,4,38.44,136.18,2,21.68,122.96,9,0
7,150,22.83,4,38.44,136.18,2,16.75,124.49,15,1
4,137,24.96,4,38.44,136.18,2,16.75,124.49,7,1
4,127,17.44,7,5.3,67.64,2,16.75,124.49,3,3
5,51,25.86,4,23.69,131.17,4,23.69,131.17,4,0
7,162,22.54,4,40.75,133.33,4,40.75,133.33,6,0
5,51,25.86,4,35.36,147.91,4,23.69,131.17,8,1
7,162,22.54,4,35.36,147.91,4,40.75,133.33,7,0
5,51,25.86,4,35.36,147.91,4,40.75,133.33,9,1
4,109,28,4,40.75,133.33,4,27.17,132.19,8,1
